x,sol
-1,1
-0.979798,1.04
-0.959596,1.07918
-0.939394,1.11754
-0.919192,1.15509
-0.89899,1.19182
-0.878788,1.22773
-0.858586,1.26283
-0.838384,1.29711
-0.818182,1.33058
-0.79798,1.36323
-0.777778,1.39506
-0.757576,1.42608
-0.737374,1.45628
-0.717172,1.48566
-0.69697,1.51423
-0.676768,1.54199
-0.656566,1.56892
-0.636364,1.59504
-0.616162,1.62034
-0.59596,1.64483
-0.575758,1.6685
-0.555556,1.69136
-0.535354,1.7134
-0.515152,1.73462
-0.494949,1.75502
-0.474747,1.77461
-0.454545,1.79339
-0.434343,1.81135
-0.414141,1.82849
-0.393939,1.84481
-0.373737,1.86032
-0.353535,1.87501
-0.333333,1.88889
-0.313131,1.90195
-0.292929,1.91419
-0.272727,1.92562
-0.252525,1.93623
-0.232323,1.94603
-0.212121,1.955
-0.191919,1.96317
-0.171717,1.97051
-0.151515,1.97704
-0.131313,1.98276
-0.111111,1.98765
-0.0909091,1.99174
-0.0707071,1.995
-0.0505051,1.99745
-0.030303,1.99908
-0.010101,1.9999
0.010101,1.9999
0.030303,1.99908
0.0505051,1.99745
0.0707071,1.995
0.0909091,1.99174
0.111111,1.98765
0.131313,1.98276
0.151515,1.97704
0.171717,1.97051
0.191919,1.96317
0.212121,1.955
0.232323,1.94603
0.252525,1.93623
0.272727,1.92562
0.292929,1.91419
0.313131,1.90195
0.333333,1.88889
0.353535,1.87501
0.373737,1.86032
0.393939,1.84481
0.414141,1.82849
0.434343,1.81135
0.454545,1.79339
0.474747,1.77461
0.494949,1.75502
0.515152,1.73462
0.535354,1.7134
0.555556,1.69136
0.575758,1.6685
0.59596,1.64483
0.616162,1.62034
0.636364,1.59504
0.656566,1.56892
0.676768,1.54199
0.69697,1.51423
0.717172,1.48566
0.737374,1.45628
0.757576,1.42608
0.777778,1.39506
0.79798,1.36323
0.818182,1.33058
0.838384,1.29711
0.858586,1.26283
0.878788,1.22773
0.89899,1.19182
0.919192,1.15509
0.939394,1.11754
0.959596,1.07918
0.979798,1.04
1,1
